Guesses,Time,Wordle,FinalWord,Matching,TotalTime
3,0.0942389965057373,forgo,forgo,True,
4,0.11619210243225098,grout,grout,True,
5,0.12009716033935547,windy,windy,True,
4,0.10241103172302246,drive,drive,True,
4,0.11159491539001465,yearn,yearn,True,
4,0.1044919490814209,foggy,foggy,True,
3,0.09464287757873535,theme,theme,True,
4,0.10546708106994629,moult,moult,True,
4,0.1145789623260498,crank,crank,True,
5,0.1256241798400879,saint,saint,True,
4,0.11031723022460938,catch,catch,True,
6,0.11573290824890137,patty,patty,True,
4,0.11581802368164062,growl,growl,True,
5,0.11756205558776855,chest,chest,True,
5,0.12681198120117188,gawky,gawky,True,
2,0.1302199363708496,probe,probe,True,
4,0.0993349552154541,batty,batty,True,
4,0.10009503364562988,knoll,knoll,True,
5,0.1153421401977539,fewer,fewer,True,
3,0.10857677459716797,credo,credo,True,
4,0.0984961986541748,sweep,sweep,True,
3,0.09661006927490234,ahead,ahead,True,
4,0.11107587814331055,helix,helix,True,
4,0.10990071296691895,tough,tough,True,
4,0.10506105422973633,taunt,taunt,True,
2,0.09977602958679199,valet,valet,True,
4,0.11115908622741699,chute,chute,True,
3,0.10710358619689941,fungi,fungi,True,
5,0.12282609939575195,spoke,spoke,True,
5,0.11339807510375977,squad,squad,True,
6,0.11825013160705566,staid,staff,False,
6,0.13907909393310547,spire,spire,True,
5,0.11866927146911621,crumb,crumb,True,
5,0.11078000068664551,ethic,ethic,True,
4,0.11987090110778809,plank,plank,True,
6,0.11187601089477539,fluff,fluff,True,
4,0.11313581466674805,brine,brine,True,
6,0.10463285446166992,leave,weave,False,
6,0.14079999923706055,stale,stare,False,
5,0.11707091331481934,start,start,True,
5,0.10558414459228516,fault,fault,True,
4,0.10793280601501465,venom,venom,True,
5,0.11221194267272949,broom,broom,True,
4,0.10701203346252441,humph,humph,True,
3,0.10244989395141602,birth,birth,True,
4,0.10525274276733398,paper,paper,True,
4,0.1131901741027832,forth,forth,True,
4,0.11656808853149414,query,query,True,
4,0.11259698867797852,brash,brash,True,
5,0.10594296455383301,angry,angry,True,
5,0.11743593215942383,poise,poise,True,
4,0.10728073120117188,cynic,cynic,True,
5,0.11337900161743164,champ,champ,True,
3,0.09509801864624023,every,every,True,
5,0.10595297813415527,flout,flout,True,
4,0.11745285987854004,piney,piney,True,
